item_id,user_id,action,vtime
i172,u2936,click,2014/9/29 11:00
i121,u2690,click,2014/9/29 10:59
i515,u2723,click,2014/9/29 10:56
i534,u2962,click,2014/9/29 10:50
i83,u2781,click,2014/9/29 10:42
i2,u2925,click,2014/9/29 10:39
i83,u2781,click,2014/9/29 10:25
i499,u3278,cart,2014/9/29 10:16
i499,u3278,click,2014/9/29 10:16
i129,u2735,click,2014/9/29 10:12
i183,u39,click,2014/9/29 10:12
i342,u3278,click,2014/9/29 10:06
i342,u3278,click,2014/9/29 10:05
i262,u2731,click,2014/9/29 10:01
i190,u39,click,2014/9/29 9:52
i190,u39,click,2014/9/29 9:52
i190,u39,click,2014/9/29 9:51
i314,u3176,click,2014/9/29 9:41
i391,u2731,click,2014/9/29 9:40
i314,u2991,click,2014/9/29 9:36
i124,u3085,click,2014/9/29 9:24
i84,u2955,click,2014/9/29 9:24
i79,u2731,click,2014/9/29 9:14
i446,u2724,click,2014/9/29 9:10
i258,u2912,click,2014/9/29 8:55
i314,u2982,click,2014/9/29 8:54
i64,u24,click,2014/9/29 8:45
i192,u3004,click,2014/9/29 8:40
i208,u3180,click,2014/9/29 8:12
i276,u3004,click,2014/9/29 8:12
i161,u2665,click,2014/9/29 7:30
i106,u3168,click,2014/9/29 7:01
i65,u3406,click,2014/9/29 5:32
i161,u2671,click,2014/9/29 3:47
i161,u2706,click,2014/9/29 2:33
i115,u3010,click,2014/9/29 1:54
i247,u2850,click,2014/9/29 1:29
i67,u2735,click,2014/9/29 0:54
i161,u2679,click,2014/9/29 0:25
